Date,GAME,GameID,Visitor Team,Home Team,VisTeamID,HomeTeamID,RATING,VIEWERS,Network,TeamIDsDate
10/1/2011,Ole Miss @ Fresno ,Mississippi (Ole Miss)-Fresno10-01-2011,Mississippi (Ole Miss),Fresno,OM,FRESNO,0.5,638610,ESPN2,OM@FRESNO10-01-2011
9/29/2018,Tennessee @ Georgia,Tennessee-Georgia09-29-2018,Tennessee,Georgia,TENN,UGA,2.3,3660000,CBS,TENN@UGA09-29-2018
10/27/2018,Florida vs. Georgia,Florida-Georgia10-27-2018,Florida,Georgia,UF,UGA,3.9,6410000,CBS,UF@UGA10-27-2018
12/1/2018,Alabama vs. Georgia,Alabama-Georgia12-01-2018,Alabama,Georgia,UA,UGA,10.1,N/A,CBS,UA@UGA12-01-2018
11/4/2017,South Carolina @ Georgia,South Carolina-Georgia11-04-2017,South Carolina,Georgia,SCAR,UGA,2.1,3510000,CBS,SCAR@UGA11-04-2017
11/18/2017,Kentucky @ Georgia,Kentucky-Georgia11-18-2017,Kentucky,Georgia,UK,UGA,2.1,3410000,CBS,UK@UGA11-18-2017
10/1/2016,Tennessee @ Georgia ,Tennessee-Georgia10-01-2016,Tennessee,Georgia,TENN,UGA,2.6,4200000,CBS,TENN@UGA10-01-2016
10/29/2016,Florida @ Georgia,Florida-Georgia10-29-2016,Florida,Georgia,UF,UGA,2.6,4500000,CBS,UF@UGA10-29-2016
11/12/2016,Auburn @ Georgia,Auburn-Georgia11-12-2016,Auburn,Georgia,AU,UGA,2.9,4990000,CBS,AU@UGA11-12-2016
10/3/2015,Alabama @ Georgia,Alabama-Georgia10-03-2015,Alabama,Georgia,UA,UGA,4.2,7045000,CBS,UA@UGA10-03-2015
10/31/2015,Florida @ Georgia,Florida-Georgia10-31-2015,Florida,Georgia,UF,UGA,3.1,5036000,CBS,UF@UGA10-31-2015
9/28/2013,LSU @ UGA,LSU-Georgia09-28-2013,LSU,Georgia,LSU,UGA,4.6,7392000,CBS,LSU@UGA09-28-2013
9/29/2012,UT @ UGA,Tennessee-Georgia09-29-2012,Tennessee,Georgia,TENN,UGA,2.9,4680000,CBS,TENN@UGA09-29-2012
12/1/2012,ALA vs. UGA,Alabama-Georgia12-01-2012,Alabama,Georgia,UA,UGA,9.8,16230000,CBS,UA@UGA12-01-2012
11/12/2011,AUB @ UGA,Auburn-Georgia11-12-2011,Auburn,Georgia,AU,UGA,2.6,4190000,CBS,AU@UGA11-12-2011
10/3/2009,LSU @ UGA,LSU-Georgia10-03-2009,LSU,Georgia,LSU,UGA,3.5,N/A,CBS,LSU@UGA10-03-2009
10/31/2009,FLA vs UGA,Florida-Georgia10-31-2009,Florida,Georgia,UF,UGA,4.4,N/A,CBS,UF@UGA10-31-2009
10/11/2008,UT @ UGA,Tennessee-Georgia10-11-2008,Tennessee,Georgia,TENN,UGA,2.5,N/A,CBS,TENN@UGA10-11-2008
11/29/2008,GA Tech @ UGA,Georgia Tech-Georgia11-29-2008,Georgia Tech,Georgia,GT,UGA,3,N/A,CBS,GT@UGA11-29-2008
10/27/2007,FLA - UGA,Florida-Georgia10-27-2007,Florida,Georgia,UF,UGA,4,N/A,CBS,UF@UGA10-27-2007
11/10/2007,AUB  @ UGA,Auburn-Georgia11-10-2007,Auburn,Georgia,AU,UGA,2.3,N/A,CBS,AU@UGA11-10-2007
11/25/2006,GA Tech @ UGA,Georgia Tech-Georgia11-25-2006,Georgia Tech,Georgia,GT,UGA,3.2,N/A,CBS,GT@UGA11-25-2006
10/2/2004,LSU @ Georgia,LSU-Georgia10-02-2004,LSU,Georgia,LSU,UGA,3.1,N/A,CBS,LSU@UGA10-02-2004
10/9/2004,Tennessee @ Georgia,Tennessee-Georgia10-09-2004,Tennessee,Georgia,TENN,UGA,3,N/A,CBS,TENN@UGA10-09-2004
11/27/2004,Georgia Tech @ Georgia,Georgia Tech-Georgia11-27-2004,Georgia Tech,Georgia,GT,UGA,3,N/A,CBS,GT@UGA11-27-2004
9/13/2003,S. Carolina @ Georgia,South Carolina-Georgia09-13-2003,South Carolina,Georgia,SCAR,UGA,1.8,N/A,CBS,SCAR@UGA09-13-2003
10/4/2003,Alabama @ Georgia,Alabama-Georgia10-04-2003,Alabama,Georgia,UA,UGA,2.1,N/A,CBS,UA@UGA10-04-2003
11/15/2003,Auburn @ Georgia,Auburn-Georgia11-15-2003,Auburn,Georgia,AU,UGA,2.5,N/A,CBS,AU@UGA11-15-2003
10/12/2002,Tennessee @ Georgia,Tennessee-Georgia10-12-2002,Tennessee,Georgia,TENN,UGA,1.9,N/A,CBS,TENN@UGA10-12-2002
11/30/2002,Ga. Tech @ Georgia,Georgia Tech-Georgia11-30-2002,Georgia Tech,Georgia,GT,UGA,2.2,N/A,CBS,GT@UGA11-30-2002
10/13/2001,Tennessee @ Georgia,Tennessee-Georgia10-13-2001,Tennessee,Georgia,TENN,UGA,2.4,N/A,CBS,TENN@UGA10-13-2001
11/10/2001,Auburn @ Georgia,Auburn-Georgia11-10-2001,Auburn,Georgia,AU,UGA,2.2,N/A,CBS,AU@UGA11-10-2001
9/1/2018,Austin Peay @ Georgia,Austin Peay-Georgia09-01-2018,Austin Peay,Georgia,APSU,UGA,N/A,1193213,ESPN,APSU@UGA09-01-2018
11/10/2018,Auburn @ Georgia,Auburn-Georgia11-10-2018,Auburn,Georgia,AU,UGA,N/A,3987474,ESPN,AU@UGA11-10-2018
9/2/2017,Appalachian State @ Georgia,Appalachian State-Georgia09-02-2017,Appalachian State,Georgia,APPST,UGA,N/A,1744365,ESPN,APPST@UGA09-02-2017
9/2/2017,Middle Tennessee @ Georgia (Moved from E2 to ESPNNews),Middle Tennessee State-Georgia09-02-2017,Middle Tennessee State,Georgia,MTSU,UGA,N/A,468631,ESPNews,MTSU@UGA09-02-2017
